INFO 2025-08-03 15:14:45,437 autoreload 3216 14028 Watching for file changes with StatReloader
INFO 2025-08-03 15:54:37,496 autoreload 15264 14136 D:\projects\Inventory\Inv\inventory_project\inventory\views.py changed, reloading.
INFO 2025-08-03 15:54:39,191 autoreload 15628 13012 Watching for file changes with StatReloader
WARNING 2025-08-03 15:55:21,729 log 15628 13176 Unauthorized: /api/customers/
WARNING 2025-08-03 15:55:21,729 basehttp 15628 13176 "GET /api/customers/ HTTP/1.1" 401 27
WARNING 2025-08-03 15:55:21,786 log 15628 10084 Unauthorized: /api/sales/
WARNING 2025-08-03 15:55:21,788 basehttp 15628 10084 "GET /api/sales/ HTTP/1.1" 401 27
WARNING 2025-08-03 15:55:21,836 log 15628 16820 Unauthorized: /api/products/
WARNING 2025-08-03 15:55:21,852 basehttp 15628 16820 "GET /api/products/ HTTP/1.1" 401 27
WARNING 2025-08-03 16:06:11,767 log 15628 5160 Unauthorized: /api/customers/
WARNING 2025-08-03 16:06:11,767 basehttp 15628 5160 "GET /api/customers/ HTTP/1.1" 401 27
WARNING 2025-08-03 16:06:11,808 log 15628 11660 Unauthorized: /api/sales/
WARNING 2025-08-03 16:06:11,808 log 15628 3152 Unauthorized: /api/products/
WARNING 2025-08-03 16:06:11,824 basehttp 15628 11660 "GET /api/sales/ HTTP/1.1" 401 27
WARNING 2025-08-03 16:06:11,824 basehttp 15628 3152 "GET /api/products/ HTTP/1.1" 401 27
INFO 2025-08-03 16:09:16,196 autoreload 2520 15972 Watching for file changes with StatReloader
INFO 2025-08-03 16:09:50,659 autoreload 2520 15972 D:\projects\Inventory\Inv\inventory_project\inventory_project\settings.py changed, reloading.
INFO 2025-08-03 16:09:51,005 autoreload 15628 13012 D:\projects\Inventory\Inv\inventory_project\inventory_project\settings.py changed, reloading.
INFO 2025-08-03 16:09:52,223 autoreload 13520 5844 Watching for file changes with StatReloader
INFO 2025-08-03 16:09:53,215 autoreload 7644 16128 Watching for file changes with StatReloader
INFO 2025-08-03 16:12:16,932 autoreload 17320 3844 Watching for file changes with StatReloader
INFO 2025-08-03 16:14:28,018 autoreload 13520 5844 D:\projects\Inventory\Inv\inventory_project\inventory_project\settings.py changed, reloading.
INFO 2025-08-03 16:14:28,286 autoreload 7644 16128 D:\projects\Inventory\Inv\inventory_project\inventory_project\settings.py changed, reloading.
INFO 2025-08-03 16:14:31,380 autoreload 1964 13000 Watching for file changes with StatReloader
INFO 2025-08-03 16:14:32,124 autoreload 15200 1340 Watching for file changes with StatReloader
INFO 2025-08-03 16:19:26,784 autoreload 16504 16936 Watching for file changes with StatReloader
INFO 2025-08-03 16:21:19,082 autoreload 14492 9032 Watching for file changes with StatReloader
INFO 2025-08-03 16:26:43,710 autoreload 15200 1340 D:\projects\Inventory\Inv\inventory_project\inventory\views.py changed, reloading.
INFO 2025-08-03 16:26:45,519 autoreload 15052 16432 Watching for file changes with StatReloader
INFO 2025-08-03 16:26:56,549 autoreload 15052 16432 D:\projects\Inventory\Inv\inventory_project\inventory\views.py changed, reloading.
INFO 2025-08-03 16:27:00,067 autoreload 14460 13844 Watching for file changes with StatReloader
INFO 2025-08-03 16:29:02,586 autoreload 4928 10132 Watching for file changes with StatReloader
INFO 2025-08-03 16:29:35,848 autoreload 4928 10132 D:\projects\Inventory\Inv\inventory_project\inventory\views.py changed, reloading.
INFO 2025-08-03 16:29:37,613 autoreload 17132 16368 Watching for file changes with StatReloader
INFO 2025-08-03 16:29:48,259 autoreload 17132 16368 D:\projects\Inventory\Inv\inventory_project\inventory\views.py changed, reloading.
INFO 2025-08-03 16:29:50,313 autoreload 12532 13968 Watching for file changes with StatReloader
INFO 2025-08-03 16:29:57,620 autoreload 12532 13968 D:\projects\Inventory\Inv\inventory_project\inventory\views.py changed, reloading.
INFO 2025-08-03 16:29:59,716 autoreload 15492 4784 Watching for file changes with StatReloader
INFO 2025-08-03 16:33:44,193 basehttp 15492 14312 "OPTIONS /api/dashboard-stats/ HTTP/1.1" 200 0
INFO 2025-08-03 16:33:44,199 basehttp 15492 1444 "OPTIONS /api/dashboard-stats/ HTTP/1.1" 200 0
WARNING 2025-08-03 16:33:44,217 log 15492 14312 Unauthorized: /api/dashboard-stats/
WARNING 2025-08-03 16:33:44,217 basehttp 15492 14312 "GET /api/dashboard-stats/ HTTP/1.1" 401 58
WARNING 2025-08-03 16:33:44,226 log 15492 14312 Unauthorized: /api/dashboard-stats/
INFO 2025-08-03 16:33:44,228 basehttp 15492 1444 "OPTIONS /api/products/ HTTP/1.1" 200 0
WARNING 2025-08-03 16:33:44,231 basehttp 15492 14312 "GET /api/dashboard-stats/ HTTP/1.1" 401 58
INFO 2025-08-03 16:33:44,436 basehttp 15492 1444 "GET /api/products/ HTTP/1.1" 200 916
INFO 2025-08-03 16:33:44,441 basehttp 15492 1444 "OPTIONS /api/users/ HTTP/1.1" 200 0
WARNING 2025-08-03 16:33:44,441 log 15492 1444 Unauthorized: /api/users/
WARNING 2025-08-03 16:33:44,468 basehttp 15492 1444 "GET /api/users/ HTTP/1.1" 401 58
